category,gmv,orders,aov,avg_review
beleza_saude,1417104.17,8636,164.09265516442798,4.230597594101669
relogios_presentes,1258190.09,5458,230.52218578233786,4.129198966408269
cama_mesa_banho,1238578.01,9228,134.2195502817512,4.003722763604511
esporte_lazer,1118167.94,7493,149.22833844921925,4.233856893542757
informatica_acessorios,1032103.17,6501,158.76067835717583,4.083153013910356
moveis_decoracao,877793.29,6182,141.99179715302492,4.078960234680574
utilidades_domesticas,751596.47,5652,132.9788517338995,4.214311142755429
cool_stuff,687721.22,3514,195.70894137734774,4.235370051635112
automotivo,671703.24,3804,176.57813880126182,4.147120972002113
ferramentas_jardim,568727.82,3418,166.39198946752487,4.193349028840494
brinquedos,547803.36,3784,144.76832980972515,4.2422749067661165
bebes,473861.03,2794,169.5995096635648,4.1105699855699855
perfumaria,442686.49,3067,144.33860123899575,4.264802093555773
telefonia,377734.56,4069,92.83228311624478,4.059579728059332
moveis_escritorio,334076.32,1244,268.5500964630225,3.655996758508914
papelaria,267863.63,2238,119.68884271671135,4.3053932584269665
pet_shop,250561.01,1679,149.23228707564027,4.283064033512867
pcs,226944.66999999998,176,1289.458352272727,4.242774566473988
instrumentos_musicais,202095.46,607,332.94144975288305,4.234608985024958
eletronicos,201298.87,2509,80.23071741729773,4.128514056224899
eletroportateis,196666.36,604,325.6065562913907,4.270450751252087
unknown,191938.28,1332,144.0978078078078,4.056268882175226
fashion_bolsas_e_acessorios,180374.69,1815,99.37999449035813,4.240453790813503
malas_acessorios,168172.04,1010,166.5069702970297,4.379721669980119
consoles_games,167386.77,1015,164.9130738916256,4.181411530815109
construcao_ferramentas_construcao,163482.77,731,223.64264021887823,4.1384297520661155
eletrodomesticos_2,118008.4,226,522.1610619469026,4.155555555555556
casa_construcao,98453.44,477,206.40134171907758,4.00421052631579
eletrodomesticos,93301.78,747,124.9019812583668,4.216173835125448
moveis_sala,83341.65,401,207.83453865336656,4.103535353535354
agro_industria_e_comercio,76203.3,177,430.5271186440678,4.107344632768362
casa_conforto,61915.5,349,177.40830945558739,3.9337175792507204
climatizacao,60098.71,246,244.30369918699188,4.115702479338843
telefonia_fixa,59593.99,210,283.78090476190476,3.9565217391304346
audio,57946.76,348,166.51367816091954,3.8391304347826085
moveis_cozinha_area_de_servico_jantar_e_jardim,57265.01,238,240.60928571428573,4.139830508474576
livros_interesse_geral,54239.549999999996,494,109.79665991902833,4.540816326530612
construcao_ferramentas_iluminacao,51387.42,236,217.74330508474574,4.197424892703863
portateis_casa_forno_e_cafe,49245.9,72,683.9708333333333,4.430555555555555
industria_comercio_e_negocios,46535.57,231,201.452683982684,4.218340611353712
construcao_ferramentas_seguranca,42296.93,155,272.88341935483874,4.025974025974026
alimentos,36460.37,439,83.05323462414579,4.324137931034483
market_place,32722.37,267,122.55569288389513,4.128301886792453
construcao_ferramentas_jardim,28754.29,186,154.5929569892473,4.301075268817204
fashion_calcados,27715.88,233,118.95227467811159,4.286026200873362
sinalizacao_e_seguranca,27695.37,137,202.15598540145984,4.139705882352941
artes,27646.7,194,142.50876288659794,4.114583333333333
bebidas,27563.24,285,96.71312280701756,4.245614035087719
livros_tecnicos,22894.48,254,90.13574803149606,4.434782608695652
moveis_quarto,22574.72,87,259.47954022988506,4.2988505747126435
alimentos_bebidas,19530.64,220,88.77563636363637,4.443181818181818
construcao_ferramentas_ferramentas,17934.170000000002,97,184.88835051546394,4.425531914893617
fashion_roupa_masculina,12514.95,106,118.06556603773586,3.8190476190476192
artigos_de_natal,11950.04,125,95.60032000000001,4.1138211382113825
fashion_underwear_e_moda_praia,11160.02,117,95.38478632478633,4.008620689655173
tablets_impressao_imagem,8483.71,76,111.62776315789472,4.162162162162162
cine_foto,8157.14,63,129.4784126984127,4.333333333333333
musica,6825.92,37,184.48432432432432,4.297297297297297
moveis_colchao_e_estofado,5904.75,37,159.58783783783784,3.891891891891892
dvds_blu_ray,5892.04,56,105.215,4.196428571428571
artigos_de_festas,5398.66,38,142.07,4.078947368421052
livros_importados,5182.65,50,103.65299999999999,4.44
portateis_cozinha_e_preparadores_de_alimentos,4228.05,13,325.2346153846154,3.6153846153846154
fashion_roupa_feminina,3130.7000000000003,35,89.44857142857144,3.9714285714285715
fashion_esporte,2675.02,25,107.0008,4.44
artes_e_artesanato,2241.54,23,97.45826086956522,4.173913043478261
la_cuisine,2216.62,11,201.51090909090908,4.545454545454546
fraldas_higiene,2046.19,25,81.8476,3.96
flores,1491.82,27,55.25259259259259,4.538461538461538
pc_gamer,1280.0700000000002,6,213.34500000000003,3.8333333333333335
casa_conforto_2,1254.3799999999999,23,54.538260869565214,3.9545454545454546
cds_dvds_musicais,954.99,12,79.5825,4.666666666666667
fashion_roupa_infanto_juvenil,502.11,5,100.422,5.0
seguros_e_servicos,324.51,2,162.255,2.5
