purchase_month,gmv,orders,users,new_users,repeat_users,aov,orders_per_user,identity_gmv,identity_gap,is_complete_month
2016-09,143.46,1,1,1,0,143.46,1.0,143.46,0.0,True
2016-10,46490.66,265,262,262,0,175.4364528301887,1.0114503816793894,46490.66,0.0,True
2016-12,19.62,1,1,1,0,19.62,1.0,19.62,0.0,True
2017-01,127482.37,750,718,717,1,169.97649333333334,1.0445682451253482,127482.37000000001,-1.4551915228366852e-11,True
2017-02,271239.32,1653,1630,1628,2,164.08912280701756,1.0141104294478527,271239.32,0.0,True
2017-03,414330.95,2546,2508,2503,5,162.73800078554595,1.0151515151515151,414330.95,0.0,True
2017-04,390812.4,2303,2274,2256,18,169.6970907511941,1.0127528583992964,390812.4,0.0,True
2017-05,566851.4,3546,3479,3451,28,159.85657078398197,1.0192584075883875,566851.4,0.0,True
2017-06,490050.37,3135,3076,3037,39,156.31590749601276,1.0191807542262679,490050.37,0.0,True
2017-07,566299.08,3872,3802,3752,50,146.2549276859504,1.0184113624408206,566299.08,0.0,True
2017-08,645832.36,4193,4114,4057,57,154.02632005723825,1.0192027224112785,645832.36,0.0,True
2017-09,701077.49,4150,4083,4004,79,168.93433493975903,1.0164095028165565,701077.49,0.0,True
2017-10,751117.01,4478,4417,4328,89,167.73492853952658,1.0138102784695495,751117.01,0.0,True
2017-11,1153364.2,7289,7183,7060,123,158.23352997667718,1.014757065293053,1153364.2,0.0,True
2017-12,843078.29,5513,5450,5338,112,152.92550154181026,1.011559633027523,843078.29,0.0,True
2018-01,1077887.46,7069,6974,6842,132,152.48089687367377,1.013622024663034,1077887.46,0.0,True
2018-02,966168.41,6555,6400,6288,112,147.39411289092297,1.02421875,966168.41,0.0,True
2018-03,1120598.24,7003,6914,6774,140,160.01688419248893,1.0128724327451548,1120598.24,0.0,True
2018-04,1132878.93,6798,6744,6582,162,166.64885701676963,1.0080071174377223,1132878.9299999997,2.3283064365386963e-10,True
2018-05,1128774.52,6749,6693,6506,187,167.2506326863239,1.0083669505453459,1128774.52,0.0,True
2018-06,1011978.29,6099,6061,5878,183,165.9252811936383,1.006269592476489,1011978.29,0.0,True
2018-07,1027807.28,6159,6100,5949,151,166.8789219029063,1.009672131147541,1027807.28,0.0,True
2018-08,985491.64,6351,6310,6144,166,155.17109746496615,1.0064976228209193,985491.6400000001,-1.1641532182693481e-10,False
